id,title,description,link,published,source,source_url,sentiment,sentiment_confidence,sentiment_positive,sentiment_neutral,sentiment_negative,token_count,scraped_at,people,organizations,locations,dates,money,events,entity_count,keywords,top_keywords
25,BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,"Wed, 30 Apr 2025 14:04:28 GMT",BBC News,http://feeds.bbci.co.uk/news/rss.xml,neutral,0.7056097984313965,0,0,0,14,2025-12-01T17:25:06.542432,,BBC News,,,,,0,news; bbc news app; top stories; breaking news; live reporting; news topics; your interests; bbc; app; stories,news; bbc news app; top stories; breaking news; live reporting
106,Guinea-Bissau military takes ‘total control’ amid election chaos,"<p>Officers say they are closing borders and suspending poll as president and main rival both claim victory  </p><p>Soldiers in Guinea-Bissau have announced they are taking “total control” of the west African country, three days after elections that both the two main presidential contenders claim to have won.</p><p>Military officers said they were suspending Guinea-Bissau’s electoral process and closing its borders, in a statement read out at the army’s headquarters in the capital Bissau and broadcast on state TV. They said they had formed “the high military command for the restoration of order”, which would rule the country until further notice.</p> <a href=""https://www.theguardian.com/world/2025/nov/26/guinea-bissau-officers-take-total-control-close-borders-amid-election-chaos"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/26/guinea-bissau-officers-take-total-control-close-borders-amid-election-chaos,"Wed, 26 Nov 2025 16:52:13 GMT",The Guardian,https://www.theguardian.com/world/rss,neutral,0.794182300567627,0,0,0,74,2025-12-01T17:25:10.051456,Bissau,Guinea-Bissau’s,Guinea,three days,,,0,bissau; borders; guinea; control; officers; total control; poll; president; victory; soldiers,bissau; borders; guinea; control; officers
136,Junta hails end to US protected status for Myanmar nationals,"<p>Human rights monitors say it is not safe to return, citing reports of ‘serious crimes in the run-up to elections’</p><p>Myanmar’s junta applauded the Trump administration on Wednesday for halting a scheme that protected its citizens from deportation from the US back to their war-racked homeland.</p><p>About 4,000 Myanmar citizens are living in the US with temporary protected status (TPS), which shields foreign nationals from deportation to disaster zones and allows them the right to work.</p> <a href=""https://www.theguardian.com/world/2025/nov/26/myanmar-us-protected-status-removal"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/26/myanmar-us-protected-status-removal,"Wed, 26 Nov 2025 12:11:22 GMT",The Guardian,https://www.theguardian.com/world/rss,neutral,0.6294786930084229,0,0,0,58,2025-12-01T17:25:10.051616,Trump,TPS,US; Myanmar,Wednesday,,,0,deportation; myanmar; junta; status; reports; wednesday; nationals; citizens; us protected status; myanmar nationals,deportation; myanmar; junta; status; reports
66,Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,"Wed, 19 Apr 2023 15:31:24 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.7066897749900818,0,0,0,35,2025-12-01T17:25:08.427633,Donald Trump,Fulton County DA; Trump,Fulton County,,,,0,lawyer; fulton; county; trump; electors; fulton county da; fake trump electors; the fulton county district attorney's office; some fake electors; donald trump,lawyer; fulton; county; trump; electors
44,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,"Wed, 19 Apr 2023 15:01:06 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.8298064470291138,0,0,0,27,2025-12-01T17:25:08.427512,,Benadryl; TikTok; CNN,Ohio,13-year-old,,,0,benadryl; ohio; year; tiktok; challenge; a 13-year-old dies; a benadryl tiktok 'challenge; a bunch; a dangerous tiktok challenge; a cnn affiliate,benadryl; ohio; year; tiktok; challenge
33,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,"Wed, 19 Apr 2023 12:44:51 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.5315150618553162,0,0,0,12,2025-12-01T17:25:08.427442,,Dominion Voting Systems; Fox News,,,,,0,statement; deal; dominion voting systems; fox news; air; claims; dominion; voting; systems; fox,statement; deal; dominion voting systems; fox news; air
58,US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,"Wed, 19 Apr 2023 08:35:33 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.8220493793487549,0,0,0,34,2025-12-01T17:25:08.427592,,the US Department of Energy,US; Russia; Ukrainian; Ukraine; Rosatom,last month,,,0,russia; energy; ukraine; rosatom; technology; plant; american nuclear technology; ukrainian nuclear plant; sensitive nuclear technology; a nuclear power plant,russia; energy; ukraine; rosatom; technology
36,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,"Wed, 19 Apr 2023 08:28:17 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,neutral,0.6864461302757263,0,0,0,22,2025-12-01T17:25:08.427470,,Fox News-Dominion; Fox News; Dominion Voting Systems,,,,,0,court; judge; fox; news; dominion; defamation; case; fox news-dominion defamation trial; the parties; their case,court; judge; fox; news; dominion
39,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks
• 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,"Wed, 19 Apr 2023 04:29:05 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,negative,0.6751772165298462,0,0,0,35,2025-12-01T17:25:08.427486,Ralph,,New York,20-year-old,,,0,teen; ralph; aunt; friend; officials; doorbell; white homeowner; a black teen; his doorbell; criminal charges,teen; ralph; aunt; friend; officials
67,High speed trains are racing across the world. But not in America,High speed trains have proved their worth across the world over the past 50 years.,https://www.cnn.com/travel/article/high-speed-rail-us/index.html,"Wed, 19 Apr 2023 02:39:40 GMT",CNN Top Stories,http://rss.cnn.com/rss/cnn_topstories.rss,positive,0.655053436756134,0,0,0,17,2025-12-01T17:25:08.427638,,,America,the past 50 years,,,0,the world; speed; trains; world; high speed trains; america high speed trains; their worth; the past 50 years; america; worth,the world; speed; trains; world; high speed trains
