rank,entity,count,sources,source_count
1,CNN,6,CNN Top Stories,1
2,GOP,5,CNN Top Stories,1
3,Trump,3,CNN Top Stories; The Guardian,2
4,Fox News,3,CNN Top Stories,1
5,White House,3,CNN Top Stories; The Guardian,2
6,Dominion Voting Systems,2,CNN Top Stories,1
7,Fox News',2,CNN Top Stories,1
8,Dominion,2,CNN Top Stories,1
9,Senate,2,CNN Top Stories; The Guardian,2
10,Delta Air Lines,2,CNN Top Stories; The Guardian,2
11,BBC,2,BBC News,1
12,Arsenal,2,BBC News,1
13,Chelsea,2,BBC News,1
14,Premier League,2,BBC News,1
15,Liverpool,2,BBC News,1
16,Budget,2,BBC News,1
17,the Wang Fuk Court,2,The Guardian,1
18,Reeves,2,BBC News; The Guardian,2
19,Labour,2,The Guardian,1
20,Amazon,2,CNN Top Stories,1
